Nissan,Model,Model Code,Description,DUTY FREE excl VAT,DUTY FREE incl VAT,RETAIL PRICE - DUTY PAID  excl VAT,RETAIl PRICE - DUTY  PAID incl VAT,RETAIL PRICE - DUTY PAID excl VAT,Manufacturer
Benz,A180,"€ 47,700","1.3 Litre, 7G-DCT, 136 hp, Dynamic Select, Cruise Control, Reverse Camera, MBUX multimedia system, Smartphone integration with Android and 
Apple, Active brake assist, Cruise control, Folding rear seats backrest, Multifunction sports steering wheel in leather Halogen headlamps including 
integral LED daytime running lamps, Touchpad without Controller, Ambient Lighting, Mirror Package, 16’’ alloy wheels, Seat comfort package, Light & 
Sight Package.",,,,,,
Benz,C 180,"€ 61,900","1.5 Litre, 9G Tronic, Artico Leather, Smartphone Integration, Cruise Control, Touchpad with Controller, Dynamic Select, Interior Lighting Package, 
Active Brake Assist, Avantgarde exterior, Reversing Camera, Park Assist, Suspension with greater ground clearance, 17'' tyres with alloy rims, Run flat 
tyres.",,,,,,
Benz,C 200,"€ 77,600","2.0 Litre, 9G-TRONIC, ARTICO man-made leather black , Smartphone integration package, Blind Spot Assist, Active Brake Assist, Dunamic Select, Rain 
sensor, SD card-based navigation, Cruise control, Touchpad with Controller, THERMATIC automatic climate control, Adaptive Highbeam Assist Plus, 
KEYLESS GO, Multifunction sports steering wheel in leather, Active Parking Assist with PARKTRONIC , Parking package with reversing camera , Ambient 
lighting , Mirror package, Anti-Theft Protection package, Exclusive interior & exterior, Suspension for greater ground clearance, Alloy wheels, Run-flat 
tyres",,,,,,
Benz,E 200,"€ 100,700","2.0 Litre, 184 HP, 9G-TRONIC, ARTICO man-made leather, Smartphone integration, Memory Package, PRE-SAFE® system, Touchpad with Controller, 
Widescreen Cockpit, COMAND ONLINE, THERMATIC automatic climate control, Heat-insulating dark-tinted glass, Interior lighting package, Wireless 
charging and connection via Bluetooth, Dynamic Select, Keyless Go, LED Intelligent Light System¸ Parking Package with 360° camera, Mirror package¸ 
Anti-Theft Protection package, 4-way lumbar support",,,,,,
Benz,E 300,"€ 115,000","2.0 Litre, 258 HP, 9G-TRONIC, Smartphone integration, Memory package, PRE-SAFE® system, Stowage Space package, Panoramic sliding sunroof glass 
version, electrically operated, Touchpad with Controller, Head-up Display, Widescreen Cockpit, Suspension for greater ground clearance, COMAND 
ONLINE, Burmester® surround sound system, Interior lighting package, Wireless charging and connection via Bluetooth, KEYLESS-GO package, 
EXCLUSIVE interior and exterior, LED Intelligent Light System, Parking Package with 360° camera, Mirror package, Anti-Theft Protection package, Run-
flat tires",,,,,,
Benz,GLA,"€ 72,700","2.0 litre, Artico leather, Smartphone integration package, Reversing camera, Active Parking Assist, Panoramic sliding sunroof, Cruise control, 
Multifunction steering wheel, Off-road comfort suspension, Attention Assist, Air conditioning system, LED High Performance headlamp, Dynamic 
Select, Keyless Go, Mirror Package, Anti-theft Protection Package, Night Package, Seat Comfort Package",,,,,,
Benz,"GLB 200 - 5 
Seater (with 
sunroof)","€ 65,800","1.3 Litre, 2WD, Artico leather, Smartphone integration, Reversing camera, Active Brake Assist, Folding rear-seat backrests, rain sensor, Panoramic 
sliding sunroof, Steering wheel shift paddles, 7G-DCT, Cruise control, Touchpad without Controller, All-digital instrument display, Tyre pressure loss 
warning system, MBUX multimedia system, LED High Performance headlamp, Comfort Seats, Advanced Sound System, Media-Display, Ambient 
lighting, Dynamic Select, Mirror package, Polished aluminium roof rail, 18’’ alloy wheels, Multifunction sports steering wheel in leather, Front fog 
lamps, Seat comfort package, Light and sight package",,,,,,
Benz,"GLB 250 - 5 
Seater (with 
sunroof)","€ 78,100","2.0 Litre, 4WD, 8G-DCT, Artico leather, Off-Road Engineering package, Smartphone integration, Reversing camera, Active Brake Assist, Folding rear-
seat backrests, rain sensor, Panoramic sliding sunroof, Steering wheel shift paddles, 7G-DCT, Cruise control, Touchpad without Controller, All-digital 
instrument display, Tyre pressure loss warning system, MBUX multimedia system, LED High Performance headlamp, Comfort Seats, Advanced Sound 
System, Media-Display, Ambient lighting, Dynamic Select, Mirror package, Polished aluminium roof rail, 18’’ alloy wheels, Multifunction sports 
steering wheel in leather, Front fog lamps, Seat comfort package, Light and sight package",,,,,,
Benz,GLC 300 Coupe,"€ 110,100","2.0 Litre, 4Matic, 9G-TRONIC, Smartphone integration with Android and Apple, Active Brake Assist, Aerial for GPS & telephone, Driver's & Passenger 
seat electrically adjustable with memory function, Stowage Space package, rain sensor, Hard-disc navigation, Sliding sunroof, Cruise control, 
Touchpad, All-digital instrumental display, Underbody protection, MBUX multimedia system with Extended MBUX functions, Adaptive Highbeam 
Assist Plus, MULTIBEAM LEDPolished aluminium roof rails, Heat-insulating dark-tinted glass, Aluminium-look running boards with rubber studs, 
Media-Display, Ambient lighting, KEYLESS-GO Comfort-package, AMG Line Exterior & Interieur, Suspension with higher ground clearance, AMG 
bodystyling, Exterior Chrome package, DYNAMIC SELECT, Parking Package with 360° camera, Mirror package, Anti-Theft Protection package Interior 
monitoring system, 19’’ AMG - alloy wheels, 2 USB ports in the rear",,,,,,
Benz,GLE 450 SUV,"€ 132,700","Smartphone integration  with apple  and android, Hard-disc navigation, Panoramic sliding sunroof  9G-TRONIC , Head-up Display, Underguard, MBUX 
multimedia system, MULTIBEAM LED, Collapsible spare wheel , Side step,  Widescreen cockpit, Ambient lighting, Power, Multifunction sports steering 
wheel in nappa leather , KEYLESS-GO Comfort package , AMG bodystyling, 20’’ AMG 5-twin-spoke light-alloy wheels , Parking Package with 360° 
camera, Active Parking Assist with PARKTRONIC, Mirror package, Anti-Theft Protection, Memory package, Summer tyres, 4-way lumbar support",,,,,,
Benz,GLE 450 Coupe,TBA,NEW - Specs & Pricing - yet to be released,,,,,,
Benz,GLS 450,"€ 146,400","3.0 Litre, 9G Tronic, Smartphone integration, 7 seater, Keyless Go, hard-disc navigation, Panoramic sliding sunroof, Multibeam LED, Parking Package 
with 360° camera, Burmester® surround sound system, MBUX multimedia system, Widescreen cockpit, Rear Seat Entertainment System, Off-Road 
Engineering package, Head-up Display, Mirror and memory package, Run flat tires, Sporty engine sound",,,,,,
Benz,GLS 580,"€ 186,700","4.0 Litre, 9G Tronic, Smartphone integration, 7 seater, Keyless Go, blind spot assist, hard-disc navigation, multicontour and climatised seats, 
Panoramic sliding sunroof, Multibeam LED, Parking Package with 360° camera, MBUX multimedia system, Widescreen cockpit, Rear Seat 
Entertainment System, Off-Road Engineering package, Head-up Display, Mirror and memory package, Run flat tires, Sporty engine sound, Magic 
Vision Control",,,,,,
Benz,G 63,"€ 324,300","4.0 Litre, AMG Speedshift TCT 9G, Leather interior, AMG Ride Control, Active Lane Keeping Assist, Electronic Stability Program (ESP®), Blind Spot 
Assist, Distronic, Comand Online, Burmester® surround sound system, Sliding sunroof, Smartphone Integration, Ambient lighting 64 colours and 10 
colour schemes, Widescreen cockpit, PRE-SAFE® system, Attention Assist, MULTIBEAM LED, AMG Night package, AMG Driver's package¸ Parking 
package with 360° camera , Active Multicontour Seat package, ISOFIX child-seat mountings, Side running boards",,,,,,
Benz,V 220 D,"€ 133,700","2.0 Litre – Diesel, 7G-TRONIC PLUS, 6 Seater, Nappa leather interior, Parking package w. 360°-camera, Mirror package, Driving Assistance package, 
BlueEFFICIENCY package, AVANTGARDE Exterior Sports package, AVANTGARDE Interior Design package, Table package, Spare wheel with jack, ECO 
start/stop function, Centre console with refrigerator, Panoramic sliding roof, Roof rails, anodised, LED Intelligent Light System , Ambient lighting, 
Sliding door left & right, Child safety locks in passenger compartment doors, Shaded glass in rear, black glass, AMG spoiler lip on boot lid, Heated seat 
for driver & Co-driver, Individual  4 seats in rear, Climatised rear seats, PRE-SAFE, Carpet in the rear, Air conditioning system with increased capacity, 
Burmester surround sound system, COMAND Online, Active Parking Assist, Multifunction steering wheel with trip computer, Blind Spot Assist, 
Crosswind Assist, Rain sensor, Hill-Start Assist, Cruise control, Leather nappa, silk beige",,,,,,
Hino,300 LWB 1017,,Truck - Cab & Chassis,,4030000,,,4698000,Hino
Hino,300 LWB 1017,,Truck with Cover Body,,4300000,,,4990000,Hino
Hino,300 LWB 1017,,Truck with High Sided Body,,4300000,,,4990000,Hino
Hino,500 LWB 1017,,Truck with Low Sided Body,,4300000,,,4990000,Hino
Hino,500 LWB 1017,,School Bus,,5600000,,,6496000,Hino
Hino,300 LWB 1017,,41 Seater Bus,,5600000,,,6496000,Hino
Hino,500 LWB 1017,,46 Seater Bus,,5600000,,,6496000,Hino
Hino,500 LWB 1017,,51 Seater Bus,,5600000,,,6496000,Hino
Hino,FC 500,,Bus - Cab & Chassis,,7000000,,,10500000,Hino
Hino,300 Series (6S),6S,Cab & Chassis,,3060000,,,3550000,Hino
Hino,300 Series (6S),6S,Mas Cab & Chassis,,3140000,,,3650000,Hino
Hino,300 Series (6S),6S,Ninja Truck with Cover Body,,3362000,,,3900000,Hino
Hino,300 Series (6S),6S,Ninja Truck with High Sided Body,,3162000,,,3900000,Hino
Hino,300 Series (6S),6S,Ninja Truck with Low Sided Body,,3362000,,,3900000,Hino
Hino,300 Series (6S),6S,Ninja 37 Seater Bus,,4310000,,,5000000,Hino
Hino,300 Series (6S),6S,Ninja 33 Seater Bus,,4220000,,,4900000,Hino
Hino,300 Series (6S),6S,Ninja 29 Seater Bus,,3965000,,,4600000,Hino
Hino,300 Series (5S),5S,Cab & Chassis,,2974900,,,3450000,Hino
Hino,300 Series (5S),5S,Mas Cab & Chassis,,3060000,,,3550000,Hino
Hino,300 Series (5S),5S,Ninja Truck with Cover Body,,3275000,,,3800000,Hino
Hino,300 Series (5S),5S,Ninja Truck with High Sided Body,,3275000,,,3800000,Hino
Hino,300 Series (5S),5S,Ninja Truck with Low Sided Body,,3275000,,,3800000,Hino
Hino,300 Series (5S),5S,Ninja 33 Seater Bus,,4137000,,,4800000,Hino
Hino,300 Series (5S),5S,Ninja 29 Seater Bus,,3879310,,,4500000,Hino
